A/C,RH,UT_O,OT,UT,RH_UT,RH_O,NORMAL
nuts NR,0.220408163,0.07755102,0.159183673,0.33877551,0.065306122,0.093877551,0.044897959
running nose YES,0.495652174,0,0.047826087,0.017391304,0.2,0.234782609,0.004347826
running nose NO,0.074898785,0.105263158,0.180161943,0.502024291,0.024291498,0.024291498,0.089068826
sneeze YES,0.497925311,0,0.053941909,0.008298755,0.203319502,0.236514523,0
sneeze NO,0.064182195,0.107660455,0.180124224,0.517598344,0.01863354,0.01863354,0.093167702
cough YES,0.440251572,0.012578616,0.075471698,0,0.213836478,0.257861635,0
cough NO,0.143362832,0.088495575,0.155752212,0.446017699,0.042477876,0.044247788,0.079646018
wheeze/blocks YES,0.4375,0.010416667,0.104166667,0.010416667,0.223958333,0.213541667,0
wheeze/blocks NO,0.12593985,0.093984962,0.15037594,0.469924812,0.028195489,0.046992481,0.084586466
headache YES,0.333333333,0.007751938,0.046511628,0.015503876,0.279069767,0.317829457,0
headache NO,0.181512605,0.085714286,0.157983193,0.420168067,0.03697479,0.042016807,0.075630252
itching YES,0,0.12195122,0.148780488,0.592682927,0.131707317,0.004878049,0
itching NO,0.48089172,0.006369427,0.124203822,0.02866242,0.012738854,0.203821656,0.143312102
swelling YES,0,0.095505618,0.106741573,0.595505618,0.202247191,0,0
swelling NO,0.276556777,0.064102564,0.148351648,0.267399267,0.04029304,0.120879121,0.082417582
red rashes YES,0,0.125984252,0.11023622,0.496062992,0.267716535,0,0
red rashes NO,0.252931323,0.060301508,0.144053601,0.316582915,0.040201005,0.110552764,0.075376884
age G5,0.209302326,0.069767442,0.069767442,0.418604651,0.069767442,0.046511628,0.11627907
age NO,0,0,0.5,0.5,0,0,0
age G3,0.150214592,0.098712446,0.141630901,0.369098712,0.107296137,0.072961373,0.060085837
age G4,0.178947368,0.042105263,0.221052632,0.347368421,0.052631579,0.063157895,0.094736842
age G2,0.265917603,0.059925094,0.097378277,0.337078652,0.074906367,0.123595506,0.041198502
age G1,0.226190476,0.071428571,0.19047619,0.285714286,0.05952381,0.095238095,0.071428571
gender F,0.159090909,0.068181818,0.128787879,0.391414141,0.093434343,0.101010101,0.058080808
gender M,0.268292683,0.076219512,0.149390244,0.295731707,0.06402439,0.079268293,0.067073171
f_history YES,0.156682028,0.071428571,0.152073733,0.352534562,0.115207373,0.152073733,0
f_history NO,0.286206897,0.072413793,0.117241379,0.34137931,0.027586207,0,0.155172414
