A/C,OT,RH,UT,NORMAL,RH_O,RH_UT,UT_O
wheat LR,0.193548387,0.096774194,0.209677419,0.064516129,0.064516129,0.209677419,0.161290323
wheat MR,0.12,0.08,0.36,0,0.16,0.16,0.12
wheat KR,0.130434783,0.152173913,0.105978261,0.211956522,0.111413043,0.171195652,0.116847826
wheat NR,0.145038168,0.148854962,0.15648855,0.076335878,0.20610687,0.08778626,0.179389313
wheat HR,0.666666667,0,0.333333333,0,0,0,0
coconut LR,0.173913043,0.195652174,0.239130435,0.02173913,0.217391304,0.065217391,0.086956522
coconut MR,0.225806452,0.064516129,0.193548387,0.096774194,0.096774194,0.064516129,0.258064516
coconut KR,0.115485564,0.133858268,0.11023622,0.220472441,0.13648294,0.162729659,0.120734908
coconut NR,0.166023166,0.158301158,0.162162162,0.054054054,0.146718147,0.138996139,0.173745174
coconut HR,0.333333333,0,0.666666667,0,0,0,0
oil LR,0.25,0,0.25,0,0,0.5,0
oil NR,0.152777778,0.111111111,0.138888889,0.013888889,0.138888889,0.277777778,0.166666667
oil MR,0.25,0,0,0,0,0,0.75
oil KR,0.140625,0.1484375,0.14375,0.1578125,0.1453125,0.1265625,0.1375
garlic LR,0.161904762,0.133333333,0.238095238,0.038095238,0.085714286,0.228571429,0.114285714
garlic MR,0.244897959,0.081632653,0.142857143,0,0.244897959,0.06122449,0.224489796
garlic KR,0.08974359,0.128205128,0.083333333,0.391025641,0.076923077,0.128205128,0.102564103
garlic NR,0.144638404,0.157107232,0.134663342,0.092269327,0.172069825,0.139650873,0.159600998
garlic HR,0.222222222,0.222222222,0.444444444,0,0.111111111,0,0
ginger LR,0.208333333,0.229166667,0.125,0,0.145833333,0.1875,0.104166667
ginger MR,0.114285714,0.114285714,0.114285714,0.028571429,0.114285714,0.2,0.314285714
ginger KR,0.128395062,0.12345679,0.128395062,0.2,0.15308642,0.135802469,0.130864198
ginger NR,0.163716814,0.168141593,0.172566372,0.088495575,0.128318584,0.128318584,0.150442478
ginger HR,0,0,0.333333333,0,0.166666667,0.5,0
pepper LR,0.166666667,0.111111111,0.166666667,0,0.277777778,0.111111111,0.166666667
pepper MR,0,0,0.333333333,0,0.333333333,0,0.333333333
pepper KR,0.143911439,0.140221402,0.142066421,0.177121771,0.140221402,0.123616236,0.132841328
pepper NR,0.142857143,0.155844156,0.12987013,0.038961039,0.136363636,0.220779221,0.175324675
pepper HR,0,0.333333333,0.666666667,0,0,0,0
tamarind LR,0.166666667,0.083333333,0.333333333,0,0,0.25,0.166666667
tamarind MR,0.4,0.2,0.2,0,0.2,0,0
tamarind KR,0.134146341,0.148083624,0.144599303,0.168989547,0.12543554,0.142857143,0.135888502
tamarind NR,0.158730159,0.119047619,0.119047619,0.03968254,0.238095238,0.142857143,0.182539683
tamarind HR,0.666666667,0.333333333,0,0,0,0,0
aginomoto LR,0.2,0,0.1,0.2,0.1,0.2,0.2
aginomoto NR,0.082191781,0.150684932,0.205479452,0.054794521,0.178082192,0.150684932,0.178082192
aginomoto MR,0.5,0,0,0,0,0,0.5
aginomoto KR,0.146919431,0.145339652,0.137440758,0.151658768,0.140600316,0.142180095,0.135860979
spices LR,0.285714286,0,0.285714286,0.142857143,0.142857143,0,0.142857143
spices NR,0.098591549,0.14084507,0.197183099,0.084507042,0.154929577,0.14084507,0.183098592
spices MR,0.333333333,0,0.333333333,0,0,0,0.333333333
spices KR,0.145539906,0.145539906,0.13458529,0.148669797,0.142410016,0.145539906,0.13771518
coco LR,0.147058824,0.160427807,0.14973262,0.090909091,0.14171123,0.13368984,0.176470588
coco MR,0.132653061,0.112244898,0.224489796,0.030612245,0.132653061,0.255102041,0.112244898
coco KR,0.127819549,0.127819549,0.052631579,0.443609023,0.157894737,0.037593985,0.052631579
coco NR,0.186666667,0.146666667,0.12,0.066666667,0.093333333,0.213333333,0.173333333
coco HR,0.1,0.1,0.225,0.025,0.225,0.175,0.15
horlicks LR,0.158469945,0.142076503,0.161202186,0.092896175,0.120218579,0.158469945,0.166666667
horlicks MR,0.101123596,0.123595506,0.101123596,0,0.191011236,0.269662921,0.213483146
horlicks KR,0.114649682,0.152866242,0.076433121,0.388535032,0.171974522,0.057324841,0.038216561
horlicks NR,0.19047619,0.154761905,0.154761905,0.05952381,0.130952381,0.142857143,0.166666667
horlicks HR,0.083333333,0.125,0.416666667,0.083333333,0.166666667,0,0.125
boost LR,0.14516129,0.14516129,0.241935484,0.032258065,0.177419355,0.129032258,0.129032258
boost MR,0.111111111,0.111111111,0.333333333,0.111111111,0,0,0.333333333
boost KR,0.135779817,0.137614679,0.119266055,0.170642202,0.132110092,0.165137615,0.139449541
boost NR,0.184466019,0.174757282,0.184466019,0.058252427,0.194174757,0.048543689,0.155339806
boost HR,0,0,1,0,0,0,0
nuts LR,0.145695364,0.119205298,0.185430464,0.086092715,0.158940397,0.145695364,0.158940397
nuts MR,0.147368421,0.2,0.073684211,0.042105263,0.2,0.210526316,0.126315789
nuts KR,0.110576923,0.120192308,0.129807692,0.307692308,0.081730769,0.100961538,0.149038462
nuts NR,0.169491525,0.148305085,0.161016949,0.080508475,0.165254237,0.122881356,0.152542373
nuts HR,0.133333333,0.2,0.1,0.066666667,0.133333333,0.366666667,0
runningnose NO,0.20131291,0.048140044,0.221006565,0.218818381,0.035010941,0.050328228,0.225382932
runningnose YES,0.041825095,0.307984791,0.007604563,0.007604563,0.330798479,0.30418251,0
sneeze NO,0.200445434,0.048997773,0.227171492,0.227171492,0.031180401,0.035634744,0.229398664
sneeze YES,0.04797048,0.298892989,0.003690037,0,0.328413284,0.32103321,0
cough NO,0.170132325,0.100189036,0.194706994,0.192816635,0.06805293,0.085066163,0.189035917
cough YES,0.068062827,0.261780105,0,0,0.35078534,0.303664921,0.015706806
wheezeBlocks NO,0.164658635,0.092369478,0.204819277,0.204819277,0.074297189,0.058232932,0.200803213
wheezeBlocks YES,0.094594595,0.256756757,0.004504505,0,0.297297297,0.333333333,0.013513514
headache NO,0.175090253,0.133574007,0.184115523,0.184115523,0.068592058,0.072202166,0.182310469
headache YES,0.036144578,0.174698795,0.006024096,0,0.391566265,0.379518072,0.012048193
itching NO,0.112676056,0.290140845,0.005633803,0.287323944,0.281690141,0.016901408,0.005633803
itching YES,0.17260274,0,0.276712329,0,0.008219178,0.265753425,0.276712329
swelling NO,0.14954955,0.185585586,0.093693694,0.183783784,0.185585586,0.075675676,0.126126126
swelling YES,0.121212121,0,0.309090909,0,0,0.36969697,0.2
redrashes NO,0.150592217,0.17428088,0.126903553,0.172588832,0.17428088,0.076142132,0.125211506
redrashes YES,0.108527132,0,0.217054264,0,0,0.449612403,0.224806202
FHistory G5,0.069767442,0.162790698,0.209302326,0.186046512,0.069767442,0.186046512,0.11627907
FHistory NO,1,0,0,0,0,0,0
FHistory G3,0.138211382,0.097560976,0.154471545,0.142276423,0.105691057,0.158536585,0.203252033
FHistory G4,0.261363636,0.125,0.125,0.215909091,0.090909091,0.125,0.056818182
FHistory G2,0.103585657,0.195219124,0.139442231,0.09561753,0.203187251,0.143426295,0.119521912
FHistory G1,0.175824176,0.131868132,0.10989011,0.175824176,0.164835165,0.098901099,0.142857143
Age F,0.129353234,0.094527363,0.166666667,0.149253731,0.156716418,0.171641791,0.131840796
Age M,0.160377358,0.204402516,0.113207547,0.132075472,0.125786164,0.106918239,0.157232704
Sex NO,0.122377622,0.202797203,0.132867133,0.356643357,0,0.052447552,0.132867133
Sex YES,0.156682028,0.103686636,0.149769585,0,0.237327189,0.202764977,0.149769585
