A/C,RH_UT,NORMAL,RH,OT,UT,RH_O,UT_O
corn NR,0.147945205,0.038356164,0.205479452,0.150684932,0.221917808,0.120547945,0.115068493
cucumber HR,0.5,0,0,0,0,0.5,0
cucumber KR,0.080924855,0.150289017,0.179190751,0.196531792,0.156069364,0.150289017,0.086705202
cucumber MR,0.230769231,0.076923077,0.038461538,0.115384615,0.192307692,0.230769231,0.115384615
cucumber LR,0.180952381,0.00952381,0.219047619,0.142857143,0.238095238,0.057142857,0.152380952
cucumber NR,0.136470588,0.047058824,0.207058824,0.136470588,0.249411765,0.108235294,0.115294118
drumstick HR,0,0.5,0,0,0,0,0.5
drumstick KR,0.141577061,0.071684588,0.202508961,0.141577061,0.216845878,0.129032258,0.096774194
drumstick MR,0.5,0,0,0.25,0,0.25,0
drumstick LR,0,0.052631579,0.157894737,0.157894737,0.263157895,0.105263158,0.263157895
drumstick NR,0.116438356,0.04109589,0.184931507,0.184931507,0.253424658,0.068493151,0.150684932
greens KR,0.123695976,0.068554396,0.198211624,0.152011923,0.220566319,0.119225037,0.117734724
greens LR,0.555555556,0,0.111111111,0,0.222222222,0.111111111,0
greens MR,0,0,0,0,1,0,0
greens NR,0.2,0.06,0.18,0.16,0.24,0.08,0.08
gourds HR,0.34375,0,0.03125,0.15625,0.15625,0.03125,0.28125
gourds KR,0.095744681,0.276595745,0.234042553,0.085106383,0.14893617,0.117021277,0.042553191
gourds MR,0.145299145,0.05982906,0.153846154,0.145299145,0.282051282,0.094017094,0.11965812
gourds LR,0.173684211,0.031578947,0.226315789,0.115789474,0.242105263,0.105263158,0.105263158
gourds NR,0.093959732,0.033557047,0.197986577,0.194630872,0.218120805,0.140939597,0.120805369
kovaikai HR,0,0,0.5,0,0.5,0,0
kovaikai KR,0.13618677,0.070038911,0.192607004,0.140077821,0.223735409,0.120622568,0.116731518
kovaikai MR,0,0.1,0.3,0.3,0.2,0,0.1
kovaikai LR,0.16,0.08,0.12,0.12,0.36,0.12,0.04
kovaikai NR,0.133333333,0.055555556,0.205555556,0.177777778,0.2,0.111111111,0.116666667
kothavarai HR,0,0,0,0.666666667,0.333333333,0,0
kothavarai KR,0.142857143,0.071428571,0.209302326,0.147840532,0.204318937,0.121262458,0.102990033
kothavarai MR,0.333333333,0,0.111111111,0,0.333333333,0.111111111,0.111111111
kothavarai LR,0.04,0.04,0.2,0.28,0.12,0.16,0.16
kothavarai NR,0.086956522,0.054347826,0.119565217,0.130434783,0.358695652,0.076086957,0.173913043
Lfinger HR,0,0.333333333,0,0.666666667,0,0,0
Lfinger KR,0.131147541,0.080145719,0.194899818,0.14571949,0.218579235,0.12568306,0.103825137
Lfinger MR,0,0,0.4,0.2,0.2,0,0.2
Lfinger LR,0.233333333,0.033333333,0.233333333,0.266666667,0.1,0.1,0.033333333
Lfinger NR,0.131944444,0.020833333,0.1875,0.131944444,0.270833333,0.090277778,0.166666667
malli HR,0,0.25,0.25,0,0,0,0.5
malli KR,0.132824427,0.064122137,0.198473282,0.154198473,0.216793893,0.114503817,0.119083969
malli MR,0.666666667,0,0,0,0.333333333,0,0
malli LR,0.222222222,0.333333333,0,0.111111111,0.222222222,0.111111111,0
malli NR,0.116666667,0.05,0.2,0.133333333,0.3,0.15,0.05
mango HR,0,0,0.125,0,0.375,0.375,0.125
mango KR,0.088888889,0.555555556,0.088888889,0.177777778,0.088888889,0,0
mango MR,0.146341463,0.024390244,0.097560976,0.12195122,0.317073171,0.195121951,0.097560976
mango LR,0.198198198,0.027027027,0.198198198,0.153153153,0.207207207,0.09009009,0.126126126
mango NR,0.125475285,0.038022814,0.212927757,0.152091255,0.228136882,0.121673004,0.121673004
mushroom HR,0,0,0.333333333,0,0.666666667,0,0
mushroom KR,0.101265823,0.073839662,0.208860759,0.14978903,0.225738397,0.122362869,0.11814346
mushroom MR,0,0,0.1,0.3,0.5,0,0.1
mushroom LR,0.348837209,0.093023256,0.139534884,0.093023256,0.255813953,0.023255814,0.046511628
mushroom NR,0.174129353,0.049751244,0.179104478,0.15920398,0.189054726,0.129353234,0.119402985
nuckol HR,0.222222222,0,0.111111111,0.111111111,0,0.555555556,0
nuckol KR,0.117511521,0.085253456,0.184331797,0.168202765,0.228110599,0.110599078,0.105990783
nuckol MR,0.347826087,0.043478261,0.043478261,0.217391304,0.260869565,0.086956522,0
nuckol LR,0.136363636,0.022727273,0.181818182,0.090909091,0.318181818,0.136363636,0.113636364
nuckol NR,0.140271493,0.045248869,0.239819005,0.122171946,0.199095023,0.108597285,0.14479638
onion HR,0,0,0,0.666666667,0.333333333,0,0
onion KR,0.130136986,0.082191781,0.183219178,0.145547945,0.227739726,0.116438356,0.114726027
onion MR,0.222222222,0,0.444444444,0.111111111,0.111111111,0,0.111111111
onion LR,0.105263158,0,0.263157895,0.210526316,0.315789474,0,0.105263158
onion NR,0.155172414,0.00862069,0.232758621,0.155172414,0.189655172,0.146551724,0.112068966
peas HR,0.142857143,0.071428571,0.214285714,0.071428571,0.214285714,0.142857143,0.142857143
peas KR,0.090909091,0.247933884,0.107438017,0.181818182,0.20661157,0.05785124,0.107438017
peas MR,0.09375,0.03125,0.125,0.0625,0.3125,0.1875,0.1875
peas LR,0.21,0.03,0.13,0.16,0.33,0.1,0.04
peas NR,0.131465517,0.030172414,0.237068966,0.148706897,0.198275862,0.129310345,0.125
potroot HR,1,0,0,0,0,0,0
potroot KR,0.122689076,0.07394958,0.198319328,0.154621849,0.218487395,0.115966387,0.115966387
potroot MR,0.285714286,0,0.142857143,0,0.571428571,0,0
potroot LR,0.296296296,0,0.222222222,0.111111111,0.148148148,0.111111111,0.111111111
potroot NR,0.13,0.05,0.18,0.15,0.25,0.13,0.11
paneer HR,0.222222222,0,0.111111111,0.111111111,0.111111111,0.111111111,0.333333333
paneer KR,0.143141153,0.07554672,0.208747515,0.137176938,0.206759443,0.109343936,0.119284294
paneer MR,0.210526316,0.105263158,0.157894737,0.210526316,0.157894737,0.052631579,0.105263158
paneer LR,0.111111111,0.083333333,0.194444444,0.111111111,0.333333333,0.111111111,0.055555556
paneer NR,0.097560976,0.036585366,0.164634146,0.195121951,0.262195122,0.146341463,0.097560976
potato HR,0,0,0,0,0.666666667,0.333333333,0
potato KR,0.132564841,0.100864553,0.198847262,0.155619597,0.193083573,0.123919308,0.095100865
potato MR,0.24,0,0.24,0.2,0.16,0.12,0.04
potato LR,0.083333333,0.020833333,0.1875,0.145833333,0.3125,0.166666667,0.083333333
potato NR,0.136363636,0.042207792,0.191558442,0.142857143,0.243506494,0.097402597,0.146103896
pumkin HR,0,0,0.285714286,0.142857143,0.428571429,0.142857143,0
pumkin KR,0.084745763,0.423728814,0.118644068,0.101694915,0.118644068,0.101694915,0.050847458
pumkin MR,0.306122449,0.040816327,0.142857143,0.081632653,0.142857143,0.102040816,0.183673469
pumkin LR,0.0875,0.0125,0.2,0.15,0.3875,0.0875,0.075
pumkin NR,0.132462687,0.039179104,0.207089552,0.162313433,0.214552239,0.123134328,0.121268657
pudina KR,0.130841121,0.073208723,0.196261682,0.14953271,0.219626168,0.118380062,0.112149533
pudina LR,0.125,0,0.125,0,0.25,0,0.5
pudina NR,0.160493827,0.024691358,0.197530864,0.172839506,0.24691358,0.111111111,0.086419753
radish HR,0,0,0,0.666666667,0.333333333,0,0
radish KR,0.127245509,0.070359281,0.200598802,0.149700599,0.218562874,0.119760479,0.113772455
radish MR,0.5,0,0,0.25,0,0,0.25
radish LR,0.333333333,0,0.166666667,0,0.5,0,0
radish NR,0.18,0.04,0.16,0.14,0.26,0.1,0.12
tomato HR,0,0,0.166666667,0.166666667,0.333333333,0,0.333333333
tomato KR,0.151709402,0.085470085,0.202991453,0.151709402,0.213675214,0.102564103,0.091880342
tomato MR,0.090909091,0.045454545,0.136363636,0.136363636,0.363636364,0.181818182,0.045454545
tomato LR,0.131147541,0.016393443,0.131147541,0.081967213,0.262295082,0.131147541,0.245901639
tomato NR,0.097701149,0.040229885,0.206896552,0.172413793,0.212643678,0.143678161,0.126436782
tondaikai HR,0.114285714,0.028571429,0.142857143,0.228571429,0.285714286,0.171428571,0.028571429
tondaikai KR,0.033333333,0.766666667,0.1,0.1,0,0,0
tondaikai MR,0.178807947,0.052980132,0.218543046,0.145695364,0.218543046,0.119205298,0.066225166
tondaikai LR,0.138075314,0.025104603,0.167364017,0.142259414,0.276150628,0.108786611,0.142259414
tondaikai NR,0.119565217,0.039855072,0.224637681,0.155797101,0.195652174,0.126811594,0.137681159
vazpooThandu HR,0.058823529,0.058823529,0.235294118,0.176470588,0.352941176,0.117647059,0
vazpooThandu KR,0.053921569,0.161764706,0.205882353,0.166666667,0.18627451,0.142156863,0.083333333
vazpooThandu MR,0.14893617,0.031914894,0.159574468,0.138297872,0.180851064,0.074468085,0.265957447
vazpooThandu LR,0.187919463,0.040268456,0.248322148,0.10738255,0.241610738,0.093959732,0.080536913
vazpooThandu NR,0.164794007,0.02247191,0.168539326,0.164794007,0.247191011,0.123595506,0.108614232
yams HR,0.222222222,0,0.111111111,0.111111111,0.166666667,0.166666667,0.222222222
yams KR,0.03030303,0.696969697,0.121212121,0.121212121,0.03030303,0,0
yams MR,0.184615385,0.030769231,0.2,0.123076923,0.215384615,0.123076923,0.123076923
yams LR,0.104166667,0.0625,0.239583333,0.114583333,0.291666667,0.083333333,0.104166667
yams NR,0.136801541,0.034682081,0.19460501,0.163776493,0.225433526,0.12716763,0.117533719
gram HR,0.181818182,0,0.272727273,0.090909091,0.181818182,0.181818182,0.090909091
gram KR,0.109004739,0.156398104,0.161137441,0.156398104,0.251184834,0.085308057,0.08056872
gram MR,0.125,0.03125,0.125,0.1875,0.3125,0.09375,0.125
gram LR,0.063291139,0.037974684,0.265822785,0.101265823,0.227848101,0.101265823,0.202531646
gram NR,0.16080402,0.030150754,0.203517588,0.155778894,0.201005025,0.135678392,0.113065327
channa KR,0.139871383,0.072347267,0.191318328,0.146302251,0.218649518,0.120578778,0.110932476
channa LR,0.2,0,0.3,0.3,0.2,0,0
channa MR,0.8,0,0.2,0,0,0,0
channa NR,0.053191489,0.042553191,0.212765957,0.170212766,0.265957447,0.106382979,0.14893617
dhal HR,0,0,0.5,0,0.5,0,0
dhal KR,0.142322097,0.080524345,0.191011236,0.138576779,0.205992509,0.129213483,0.112359551
dhal MR,0.153846154,0,0.076923077,0.384615385,0.384615385,0,0
dhal LR,0.2,0,0.08,0.16,0.4,0.04,0.12
dhal NR,0.095541401,0.038216561,0.23566879,0.171974522,0.23566879,0.095541401,0.127388535
maida KR,0.122186495,0.077170418,0.199356913,0.160771704,0.20096463,0.118971061,0.120578778
maida LR,0,0,0.6,0,0.2,0.2,0
maida NR,0.211538462,0.009615385,0.153846154,0.096153846,0.355769231,0.096153846,0.076923077
oats HR,0.117647059,0.058823529,0.117647059,0.235294118,0.411764706,0.058823529,0
oats KR,0.082474227,0.268041237,0.154639175,0.134020619,0.154639175,0.144329897,0.06185567
oats MR,0.225,0,0.2,0.1,0.25,0.175,0.05
oats LR,0.104166667,0.03125,0.229166667,0.145833333,0.270833333,0.0625,0.15625
oats NR,0.143451143,0.03950104,0.1995842,0.155925156,0.218295218,0.118503119,0.124740125
ragi HR,0,0,0.333333333,0,0.666666667,0,0
ragi KR,0.120418848,0.162303665,0.204188482,0.136125654,0.19895288,0.083769634,0.094240838
ragi MR,0.236363636,0,0.127272727,0.109090909,0.254545455,0.109090909,0.163636364
ragi LR,0.119047619,0.035714286,0.285714286,0.142857143,0.214285714,0.095238095,0.107142857
ragi NR,0.130653266,0.037688442,0.180904523,0.165829146,0.228643216,0.138190955,0.118090452
rice HR,0,0,0.166666667,0.333333333,0.5,0,0
rice KR,0.171511628,0.113372093,0.24127907,0.130813953,0.159883721,0.113372093,0.069767442
rice MR,0.137931034,0,0.068965517,0.275862069,0.275862069,0.068965517,0.172413793
rice LR,0.082191781,0.02739726,0.150684932,0.205479452,0.356164384,0.04109589,0.136986301
rice NR,0.103942652,0.028673835,0.164874552,0.143369176,0.254480287,0.146953405,0.157706093
wheat HR,0,0,0.142857143,0.285714286,0.571428571,0,0
wheat KR,0.163934426,0.098360656,0.196721311,0.144808743,0.202185792,0.092896175,0.101092896
wheat MR,0.1,0,0.133333333,0.1,0.433333333,0.1,0.133333333
wheat LR,0.180327869,0.032786885,0.147540984,0.196721311,0.213114754,0.049180328,0.180327869
wheat NR,0.08988764,0.041198502,0.213483146,0.149812734,0.220973783,0.168539326,0.116104869
coconut HR,0,0,0.166666667,0.333333333,0.5,0,0
coconut KR,0.145251397,0.108938547,0.17877095,0.136871508,0.201117318,0.11452514,0.11452514
coconut MR,0.03125,0.03125,0.09375,0.25,0.34375,0.125,0.125
coconut LR,0.075471698,0.018867925,0.264150943,0.169811321,0.150943396,0.226415094,0.094339623
coconut NR,0.145390071,0.028368794,0.216312057,0.14893617,0.244680851,0.09929078,0.117021277
oil KR,0.113178295,0.074418605,0.20620155,0.153488372,0.227906977,0.114728682,0.110077519
oil LR,0.666666667,0,0.166666667,0.166666667,0,0,0
oil MR,0,0,0.25,0.25,0,0,0.5
oil NR,0.276315789,0.013157895,0.105263158,0.118421053,0.210526316,0.144736842,0.131578947
garlic HR,0,0,0.2,0.2,0.533333333,0.066666667,0
garlic KR,0.139534884,0.209302326,0.19379845,0.11627907,0.147286822,0.07751938,0.11627907
garlic MR,0.078431373,0,0.117647059,0.235294118,0.235294118,0.176470588,0.156862745
garlic LR,0.220183486,0.027522936,0.146788991,0.155963303,0.293577982,0.082568807,0.073394495
garlic NR,0.121779859,0.044496487,0.217798595,0.147540984,0.215456674,0.131147541,0.121779859
ginger HR,0.333333333,0,0,0,0.333333333,0.333333333,0
ginger KR,0.133159269,0.096605744,0.180156658,0.140992167,0.221932115,0.125326371,0.101827676
ginger MR,0.171428571,0.028571429,0.171428571,0.114285714,0.228571429,0.057142857,0.228571429
ginger LR,0.189655172,0,0.206896552,0.172413793,0.206896552,0.120689655,0.103448276
ginger NR,0.115079365,0.043650794,0.222222222,0.166666667,0.226190476,0.107142857,0.119047619
pepper HR,0,0,0.666666667,0,0.333333333,0,0
pepper KR,0.112570356,0.08630394,0.202626642,0.155722326,0.219512195,0.108818011,0.114446529
pepper MR,0,0,0,0,0.6,0.2,0.2
pepper LR,0.1,0,0.1,0.2,0.2,0.25,0.15
pepper NR,0.211764706,0.017647059,0.182352941,0.135294118,0.223529412,0.123529412,0.105882353
tamarind HR,0,0,0.25,0.75,0,0,0
tamarind KR,0.129432624,0.081560284,0.20035461,0.147163121,0.226950355,0.111702128,0.102836879
tamarind MR,0,0,0.25,0.25,0.375,0.125,0
tamarind LR,0.25,0,0.166666667,0.166666667,0.333333333,0,0.083333333
tamarind NR,0.153846154,0.020979021,0.174825175,0.13986014,0.195804196,0.146853147,0.167832168
aginomoto KR,0.134165367,0.070202808,0.196567863,0.15600624,0.219968799,0.118564743,0.104524181
aginomoto LR,0.111111111,0.111111111,0,0.222222222,0.111111111,0.111111111,0.333333333
aginomoto MR,0,0,0.2,0.4,0,0,0.4
aginomoto NR,0.144736842,0.039473684,0.210526316,0.078947368,0.276315789,0.105263158,0.144736842
spices KR,0.130841121,0.070093458,0.197819315,0.15576324,0.219626168,0.119937695,0.105919003
spices LR,0,0.166666667,0,0.333333333,0.166666667,0.166666667,0.166666667
spices MR,0,0,0.25,0.25,0.25,0,0.25
spices NR,0.17721519,0.037974684,0.189873418,0.088607595,0.253164557,0.088607595,0.164556962
coco HR,0.186046512,0.023255814,0.139534884,0.11627907,0.209302326,0.209302326,0.11627907
coco KR,0.057142857,0.238095238,0.228571429,0.19047619,0.066666667,0.19047619,0.028571429
coco MR,0.196428571,0.017857143,0.133928571,0.116071429,0.375,0.080357143,0.080357143
coco LR,0.119592875,0.045801527,0.211195929,0.145038168,0.229007634,0.109414758,0.139949109
coco NR,0.192307692,0.038461538,0.192307692,0.192307692,0.192307692,0.051282051,0.141025641
horlicks HR,0,0.055555556,0.277777778,0.111111111,0.277777778,0.111111111,0.166666667
horlicks KR,0.068181818,0.204545455,0.25,0.159090909,0.106060606,0.181818182,0.03030303
horlicks MR,0.229166667,0,0.135416667,0.09375,0.260416667,0.114583333,0.166666667
horlicks LR,0.133838384,0.045454545,0.186868687,0.154040404,0.257575758,0.101010101,0.121212121
horlicks NR,0.157303371,0.033707865,0.202247191,0.191011236,0.191011236,0.08988764,0.134831461
boost HR,0,0,0,0,1,0,0
boost KR,0.163227017,0.080675422,0.200750469,0.144465291,0.183864916,0.112570356,0.114446529
boost MR,0,0.111111111,0.222222222,0.111111111,0.333333333,0,0.222222222
boost LR,0.101449275,0.014492754,0.144927536,0.15942029,0.31884058,0.144927536,0.115942029
boost NR,0.033898305,0.033898305,0.203389831,0.177966102,0.322033898,0.127118644,0.101694915
nuts HR,0.289473684,0.026315789,0.236842105,0.105263158,0.184210526,0.157894737,0
nuts KR,0.112359551,0.157303371,0.202247191,0.129213483,0.191011236,0.078651685,0.129213483
nuts MR,0.189473684,0.031578947,0.252631579,0.168421053,0.157894737,0.157894737,0.042105263
nuts LR,0.122905028,0.033519553,0.139664804,0.145251397,0.296089385,0.122905028,0.139664804
nuts NR,0.112033195,0.045643154,0.203319502,0.170124481,0.22406639,0.116182573,0.128630705
runningnose NO,0.037444934,0.105726872,0.077092511,0.218061674,0.350220264,0.028634361,0.182819383
runningnose YES,0.292418773,0.003610108,0.389891697,0.039711191,0.014440433,0.259927798,0
sneeze NO,0.029545455,0.111363636,0.063636364,0.215909091,0.365909091,0.025,0.188636364
sneeze YES,0.29209622,0,0.395189003,0.051546392,0.006872852,0.254295533,0
cough NO,0.06728972,0.091588785,0.143925234,0.18317757,0.304672897,0.061682243,0.147663551
cough YES,0.316326531,0,0.336734694,0.06122449,0,0.265306122,0.020408163
wheezeBlocks NO,0.044088176,0.098196393,0.126252505,0.180360721,0.322645291,0.066132265,0.162324649
wheezeBlocks YES,0.327586207,0,0.344827586,0.086206897,0.00862069,0.224137931,0.00862069
headache NO,0.058823529,0.087344029,0.181818182,0.183600713,0.290552585,0.051693405,0.146167558
headache YES,0.382352941,0,0.241176471,0.041176471,0,0.329411765,0.005882353
itching NO,0.021084337,0.147590361,0.430722892,0.120481928,0.015060241,0.25,0.015060241
itching YES,0.228070175,0,0,0.175438596,0.395989975,0.005012531,0.195488722
swelling NO,0.064981949,0.088447653,0.258122744,0.160649819,0.171480144,0.153429603,0.102888087
swelling YES,0.350282486,0,0,0.118644068,0.384180791,0,0.146892655
redrashes NO,0.064516129,0.083191851,0.24278438,0.157894737,0.212224109,0.144312394,0.095076401
redrashes YES,0.422535211,0,0,0.11971831,0.267605634,0,0.190140845
FHistory NO,0,0,0,0.5,0.5,0,0
FHistory G2,0.117424242,0.049242424,0.25,0.102272727,0.200757576,0.166666667,0.113636364
FHistory G1,0.094117647,0.070588235,0.211764706,0.223529412,0.176470588,0.105882353,0.117647059
FHistory G5,0.1,0.125,0.225,0.075,0.35,0.05,0.075
FHistory G3,0.178137652,0.060728745,0.141700405,0.149797571,0.238866397,0.089068826,0.141700405
FHistory G4,0.11827957,0.107526882,0.161290323,0.247311828,0.225806452,0.086021505,0.053763441
Age M,0.102639296,0.06744868,0.249266862,0.158357771,0.196480938,0.102639296,0.123167155
Age F,0.161538462,0.066666667,0.148717949,0.143589744,0.246153846,0.128205128,0.105128205
Sex NO,0.051851852,0.181481481,0.296296296,0.12962963,0.218518519,0,0.122222222
Sex YES,0.182212581,0,0.136659436,0.162689805,0.225596529,0.184381779,0.10845987
